hour,rmse,mae,r2,n_samples,mean_actual,mean_predicted
0,20.817865575545714,11.620896981516447,0.6366819424065612,192,19.239583333333332,17.79746846378062
1,18.18441913562815,10.057318299248864,-1.254461386359929,166,8.108433734939759,12.489696644746381
2,10.417801071824922,6.787208184735757,-2.3091438153683623,126,5.888888888888889,7.748325131204827
3,10.511558560685177,6.654277741755558,-5.274577677997904,111,4.333333333333333,7.303314877372493
4,7.34066512797149,5.173095366182285,-2.1660866683463267,145,3.910344827586207,6.687495602168241
5,8.349389196559036,5.27884683965845,0.5489853740381772,207,7.396135265700483,6.387785229057493
6,10.85388228580359,6.142621290049757,0.817278401274159,261,15.417624521072797,11.505123757749853
7,17.834179483853816,11.958806253655261,0.8722413059727006,267,35.59925093632959,35.74748092251622
8,12.811088225893778,9.384571130575031,0.9623108107505082,273,47.16117216117216,51.328394249253954
9,14.76435878452552,10.070929107486883,0.9477153862184046,361,44.83379501385041,45.766819002010266
10,14.443503820171097,9.018819968218226,0.9505842586639368,349,48.845272206303726,50.2466984616508
11,14.571256289490387,8.375379582513022,0.9546285393529479,370,49.462162162162166,49.9689513657915
12,13.882662129465714,8.465629560087141,0.965663799699323,360,56.391666666666666,55.224101733009064
13,13.958677929308028,8.743431453246377,0.9691717313357153,353,59.94334277620396,60.507104265037036
14,13.972208100501028,8.481018533738046,0.9739903394048613,345,65.17391304347827,64.15499886600708
15,17.102770914253657,10.013383936181748,0.9621684089927611,337,67.05341246290801,67.92663926872119
16,19.588216801446634,11.496712119492459,0.9510431956648528,331,65.74018126888218,68.83465901983651
17,18.746029435219246,11.81488649509004,0.9627436844444476,326,73.4877300613497,73.64706949361724
18,18.655153179967417,11.672023737633769,0.9672710146936404,311,80.7781350482315,75.13111949445484
19,21.429978159387574,13.792397254768124,0.9478115780939911,300,71.73333333333333,72.06641577417159
20,22.124838765664112,11.898235104184836,0.9377800650784157,295,68.57627118644068,65.80175480911066
21,29.152047741407753,15.579133060527006,0.8966813111937025,292,66.20205479452055,61.612252039777196
22,20.678729949184255,12.228408852163184,0.9145215862152019,301,49.78405315614618,51.754566587006316
23,20.9110315792192,12.812551634427658,0.7790083787221848,283,30.784452296819786,37.05672772390833
