hour,rmse,mae,r2,n_samples,mean_actual,mean_predicted
0,3354.419621931639,1914.8306884765625,-9431.98828125,192,19.239583333333332,1934.0703
1,2292.35424836564,1366.217041015625,-35825.74609375,166,8.108433734939759,1374.3254
2,1190.8549974703049,841.7899169921875,-43238.5625,126,5.888888888888889,847.67883
3,1158.3047958115342,882.604736328125,-76188.6484375,111,4.333333333333333,886.93805
4,1028.838969421357,762.8153076171875,-62192.7578125,145,3.910344827586207,766.72565
5,1102.2183880701682,667.4866943359375,-7858.890625,207,7.396135265700483,674.8829
6,1767.4756009631365,926.1136474609375,-4844.36572265625,261,15.417624521072797,941.53125
7,3063.170416414993,1662.0679931640625,-3768.003173828125,267,35.59925093632959,1697.6672
8,4821.5655133991495,2804.15625,-5337.51953125,273,47.16117216117216,2851.3176
9,5270.4762593147125,3062.826416015625,-6661.61083984375,361,44.83379501385041,3107.6604
10,5813.432032801278,3536.29296875,-8004.44384765625,349,48.845272206303726,3585.1382
11,6006.250744016604,3575.950439453125,-7707.95849609375,370,49.462162162162166,3625.4126
12,6572.985318711734,3947.66259765625,-7696.1875,360,56.391666666666666,4004.0542
13,7244.707309477727,4401.77197265625,-8303.2841796875,353,59.94334277620396,4461.7153
14,7754.550663964998,4711.67138671875,-8010.57470703125,345,65.17391304347827,4776.845
15,8235.841669192045,5010.203125,-8771.7880859375,337,67.05341246290801,5077.2563
16,8491.734334045077,5179.9228515625,-9199.59765625,331,65.74018126888218,5245.663
17,8608.381032459007,5236.30810546875,-7855.412109375,326,73.4877300613497,5309.796
18,9298.956500597258,5816.36474609375,-8131.11181640625,311,80.7781350482315,5897.1426
19,9543.813493567442,6050.322265625,-10349.8173828125,300,71.73333333333333,6122.0557
20,8631.941612406794,5381.94873046875,-9469.7919921875,295,68.57627118644068,5450.525
21,8165.22675741464,5151.18212890625,-8104.45263671875,292,66.20205479452055,5217.384
22,7300.428480575643,4485.9560546875,-10652.822265625,301,49.78405315614618,4535.74
23,5464.919029592295,3401.239013671875,-15092.583984375,283,30.784452296819786,3432.0234
