hidden_layers,dropout_rate,learning_rate,batch_size,epochs_trained,train_rmse,val_rmse,train_r2,val_r2,train_mae,val_mae,train_time_seconds
"[64, 32]",0.2,0.001,256,67,20.358652495813974,19.86813370239908,0.9316533207893372,0.9355620741844177,11.364652633666992,10.516131401062012,51.84403204917908
"[128, 64]",0.2,0.001,256,100,18.647516963821634,18.67610275097146,0.9426594972610474,0.9430623054504395,10.321303367614746,9.977933883666992,89.91330671310425
"[128, 64, 32]",0.2,0.001,256,68,18.972649413860207,19.069719592124727,0.9406425356864929,0.940636932849884,10.368226051330566,9.882461547851562,48.079594373703
"[256, 128, 64]",0.2,0.001,256,76,17.217546535189218,17.767495572696262,0.9511165618896484,0.9484676122665405,9.386260986328125,9.167318344116211,66.82478666305542
"[128, 64, 32, 16]",0.2,0.001,256,91,17.562970029575453,17.850859019235163,0.949135422706604,0.947982907295227,9.659744262695312,9.319673538208008,70.0023410320282
"[128, 64, 32]",0.1,0.001,256,100,17.160886711205915,17.545113968564635,0.9514377117156982,0.9497495293617249,9.476239204406738,9.22835636138916,100.07106685638428
"[128, 64, 32]",0.3,0.001,256,51,19.39556384146941,19.4604380393053,0.9379667639732361,0.9381794333457947,10.596482276916504,10.19955062866211,54.60000991821289
"[128, 64, 32]",0.2,0.0005,256,100,18.247039136688983,18.290682662646166,0.945095956325531,0.9453880786895752,10.018141746520996,9.565967559814453,96.86717677116394
"[128, 64, 32]",0.2,0.002,256,48,18.46818735262876,18.35898187744004,0.9437570571899414,0.9449794888496399,9.993799209594727,9.504196166992188,34.346362352371216
"[128, 64, 32]",0.2,0.001,128,57,18.34820055545085,18.54583176825894,0.9444854855537415,0.9438537955284119,10.086836814880371,9.923589706420898,64.52615904808044
"[128, 64, 32]",0.2,0.001,512,89,18.382120219115095,18.456817541752187,0.9442800879478455,0.9443914890289307,10.212929725646973,9.932140350341797,43.39065980911255
