hidden_layers,dropout_rate,learning_rate,batch_size,epochs_trained,train_rmse,val_rmse,train_r2,val_r2,train_mae,val_mae,train_time_seconds
"[64, 32]",0.2,0.001,256,48,0.24274177162680047,0.2516534952449582,0.9410764323074823,0.9373077152071821,0.145925884349911,0.14308045457086363,20.107550382614136
"[128, 64]",0.2,0.001,256,41,0.22861925660718785,0.23450668502657518,0.9477332355083768,0.9455599369602132,0.1385758838459016,0.13880955156614774,22.052363872528076
"[128, 64, 32]",0.2,0.001,256,58,0.21393000319403419,0.2290953874753143,0.9542339537334005,0.9480433842589133,0.13232106328267934,0.13315244621748537,33.458431243896484
"[256, 128, 64]",0.2,0.001,256,39,0.21930484844036943,0.2335494248480605,0.9519053834505466,0.9460034803139667,0.13043459304260716,0.13253039093608474,33.74959182739258
"[128, 64, 32, 16]",0.2,0.001,256,45,0.23607277573533106,0.24441705719632936,0.9442696445566161,0.9408613800041733,0.1447185129571071,0.14286934153257105,26.054911375045776
"[128, 64, 32]",0.1,0.001,256,49,0.2133124813848485,0.22994214676138436,0.9544977852854386,0.947658600856573,0.12613362526351304,0.1302672458845173,31.032888412475586
"[128, 64, 32]",0.3,0.001,256,60,0.22567079360415349,0.23590995379457214,0.9490726929140716,0.944906457866276,0.1391338438994616,0.1373370283802117,30.39876103401184
"[128, 64, 32]",0.2,0.0005,256,48,0.23853647393991445,0.25481946025129293,0.9431003506003125,0.9357203731084575,0.15773267041276623,0.16891827768080897,22.760340690612793
"[128, 64, 32]",0.2,0.002,256,56,0.2225877916610877,0.23220439216088978,0.9504546750034402,0.9466236312818346,0.131741358658368,0.12954907683040504,27.95691156387329
"[128, 64, 32]",0.2,0.001,128,35,0.2369548888667167,0.24395237316719964,0.9438523806421619,0.9410860341212316,0.15466428722653816,0.15364973451183617,26.099579572677612
"[128, 64, 32]",0.2,0.001,512,40,0.24134050750203423,0.24450127389005297,0.9417547594386606,0.9408206192066935,0.15465465547959414,0.15146655737338757,15.337731122970581
