hour,rmse,mae,r2,n_samples,mean_actual,mean_predicted
0,18.284298769598355,8.78043582766915,0.7197334921816849,192,19.239583333333332,22.45916835708914
1,13.844312034917692,6.648631544447522,-0.3067325034699888,166,8.108433734939759,13.681576876719399
2,5.959500835149297,3.4591741265133122,-0.08288737716446093,126,5.888888888888889,8.517113777827504
3,3.6001435375574555,2.5198997773827405,0.26397951014519705,111,4.333333333333333,6.272969045384171
4,3.3699762272059974,2.1275144037219422,0.33272377931537545,145,3.910344827586207,4.816722184404856
5,5.280012899440163,2.664594007162997,0.8196354503746921,207,7.396135265700483,7.178171386177202
6,6.267770462107155,3.3152375308421034,0.9390679431191892,261,15.417624521072797,14.77716637138182
7,12.221440610622023,6.748852507319112,0.9400030737995676,267,35.59925093632959,32.92298069391241
8,10.043865853300254,5.986536091888884,0.9768342396983589,273,47.16117216117216,46.51448288014296
9,11.971451664403025,6.6989266340918086,0.9656253443409522,361,44.83379501385041,45.154563111687466
10,12.788778338807594,7.0815449728815985,0.9612583321094184,349,48.845272206303726,48.9456404373245
11,12.10829771784558,6.75877915839624,0.9686703928978545,370,49.462162162162166,50.234689290815496
12,12.917413468620964,7.072490694715084,0.9702725369839188,360,56.391666666666666,54.833256473391906
13,12.927316419715442,7.186672354525417,0.9735590338803848,353,59.94334277620396,59.45323118093356
14,12.894628192579823,7.020566346920421,0.9778475256424456,345,65.17391304347827,63.942604538019424
15,14.76855372091394,8.381847369029146,0.9717903574576293,337,67.05341246290801,67.67455693681649
16,19.167036078248188,10.549710705567609,0.9531258745697377,331,65.74018126888218,69.45928784690052
17,17.79699585113783,9.784573888551261,0.9664204623215394,326,73.4877300613497,72.86978011304691
18,18.645899958805444,10.399730615507645,0.9673034747252398,311,80.7781350482315,78.2557475658993
19,22.043704454544503,13.111660523408982,0.9447795594370111,300,71.73333333333333,77.67370055901044
20,19.37507477083432,10.251326594644903,0.9522848714783672,295,68.57627118644068,69.72979196485127
21,27.563356320638455,13.655122811574573,0.9076355280375945,292,66.20205479452055,65.75147678965445
22,22.649698123412016,12.06236282349522,0.8974504952643761,301,49.78405315614618,56.08438536629701
23,27.189421081352595,14.64564303084656,0.6263845616494695,283,30.784452296819786,43.68441970912511
