feature,importance
lag_1h,0.36211768
lag_24h,0.2461438
rolling_3h_mean,0.19175161
is_morning_rush,0.049390938
lag_168h,0.02939803
hour,0.014856606
lag_2h,0.012548212
is_rush_hour,0.010893775
zone_avg_demand,0.010178485
zone_demand_std,0.009783565
zone_avg_distance,0.008773414
rolling_3h_std,0.008241069
rolling_24h_mean,0.007752275
rolling_24h_std,0.007311092
day_of_week,0.0055656284
is_weekend,0.0053745946
zone_avg_fare,0.005163475
is_evening_rush,0.004138971
avg_distance,0.0038143406
avg_fare,0.003605326
day_of_month,0.003197145
